[--] ----------------------------------------------
[--] CANreal Save Frames Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\Pi\Desktop\CySkinDLL\CAN_packets.csplog
[F2] Split file series:       	CAN_packets.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	2093
[F7] File date:               	26.11.2016
[F8] File time:               	07:33:07
[S1] Hardware:                	1000
[S2] Driver:                  	2609
[S3] Firmware:                	1100
[S5] dll:                     	4808
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 7 Service Pack 1 (6,1,7601,2,[Service Pack 1])
[S9] CANreal:                 	8.23
[SA] Features:                	0972 (2b Ts Lo St )
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[SC] Controller:              	LPC,60.0 MHz
[SD] Board serial:            	HI005033
[C1] Net number:              	0
[C2] Baud:                    	1000
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[C6] Baud details:            	1000.00 kBit/s+0.00% Table-Index[0],TSEG[17/3],SJW[0],FLAGS[0 hex]
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time		CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel		     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	07:31:52	290.946	        126.946		       257	       101	      	  8	43	BC	00	00	B3	0B	28	87	Cº__≥_(á	
           2	    	07:31:52	291.078	          0.132		       513	       201	      	  8	28	08	27	5F	27	62	29	0B	(_'_'b)_	
           3	    	07:31:52	291.202	          0.124		       513	       201	      	  8	26	16	27	04	26	BE	26	D4	&_'_&æ&‘	
           4	    	07:31:52	291.306	          0.104		       513	       201	      	  8	28	56	28	6D	B2	F9	27	7F	(V(m≤˘'	
           5	    	07:31:52	291.421	          0.115		       513	       201	      	  8	27	2C	26	B7	26	B8	28	ED	',&∑&∏(Ì	
           6	    	07:31:52	291.549	          0.128		       513	       201	      	  8	25	D5	26	CF	26	51	26	84	%’&œ&Q&Ñ	
           7	    	07:31:52	291.666	          0.117		       513	       201	      	  8	28	66	27	E7	AD	E3	28	86	(f'Á≠„(Ü	
           8	    	07:31:52	291.781	          0.115		       513	       201	      	  8	26	F9	2A	5E	28	96	27	AC	&˘*^(ñ'¨	
           9	    	07:31:52	291.898	          0.117		       513	       201	      	  8	27	C0	25	7F	25	2B	25	FD	'¿%%+%˝	
          10	    	07:31:52	292.014	          0.116		       513	       201	      	  8	27	74	30	C0	B2	BD	26	D3	't0¿≤Ω&”	
          11	    	07:31:52	292.149	          0.135		       513	       201	      	  8	26	F3	28	EE	29	B5	27	DE	&Û(Ó)µ'ﬁ	
          12	    	07:31:52	292.264	          0.115		       513	       201	      	  8	27	AC	25	58	24	40	28	6C	'¨%X$@(l	
          13	    	07:31:52	292.378	          0.114		       513	       201	      	  8	27	A6	26	DB	AE	89	28	93	'¶&€Æâ(ì	
          14	    	07:31:52	292.494	          0.116		       513	       201	      	  8	27	5D	2A	B8	29	01	28	27	']*∏)_('	
